AnimalID,Name,Species,Breed,Height,Weight,DOB,Arrival Date,Color,Available,ImagePath
1,Sky,Dog,Husky,20,50,2014-12-01,2021-03-31,Black/White,AVAILABLE,data/images/Sky.jpg
2,Cerberus,Dog,Rottweiler,26,100,2015-10-31,2021-02-01,Black/Brown,AVAILABLE,data/images/Cerberus.jpg
3,Pongo,Dog,Dalmatian,22,50,2016-11-03,2021-04-29,Black/White,AVAILABLE,data/images/Pongo.jpg
4,Doge,Dog,Shiba-Inu,18,26,2018-09-29,2021-06-03,Orange/White,AVAILABLE,data/images/Doge.jpg
5,Scoob,Dog,Great Dane,28,120,2009-08-05,2021-01-27,Black/Brown,AVAILABLE,data/images/Scoob.jpg
6,Lady,Dog,Cocker Spaniel,15,24,2019-06-27,2021-07-05,Brown/Gold,AVAILABLE,data/images/Lady.jpg
7,Sylvester,Cat,Tuxedo,12,10,2017-07-07,2021-05-25,Black/White,AVAILABLE,data/images/Sylvester.jpg
8,Garfield,Cat,Tabby,18,40,2011-05-25,2021-02-07,Black/Orange,AVAILABLE,data/images/Garfield.jpg
9,Meowth,Cat,Calico,11,10,2019-04-09,2021-04-23,Brown/Tan,AVAILABLE,data/images/Meowth.jpg
10,Mr. Bigglesworth,Cat,Sphynx,10,12,2017-02-23,2021-03-09,Grey/Pink,AVAILABLE,data/images/Mr. Bigglesworth.jpg
11,Puss,Cat,Tabby,10,12,2019-01-11,2021-01-21,Orange/White,AVAILABLE,data/images/Puss.jpg
12,Bugs,Other,Rabbit,12,12,2018-04-21,2021-06-11,Grey/White,AVAILABLE,data/images/Bugs.jpg
13,Lola,Other,Rabbit,10,10,2019-06-13,2021-03-19,Brown/Tan,AVAILABLE,data/images/Lola.jpg
14,Pepe,Other,Skunk,8,2,2020-05-19,2021-06-13,Black/White,AVAILABLE,data/images/Pepe.jpg
15,Furret,Other,Ferret,6,3,2020-07-15,2021-04-17,Brown/Tan,NOT_AVAILABLE,data/images/Furret.jpg
